siteid,Name,month,year,years_fire,pre_post_fire,burned,closed_ever,tot_vis,closed_month,d2p
CRG_007,Tanner Butte,10,2018,1,post,yes,yes,0,closed,2018-10-15
CRG_007,Tanner Butte,11,2014,-3,pre,yes,yes,36,open,2014-11-15
CRG_007,Tanner Butte,11,2015,-2,pre,yes,yes,68,open,2015-11-15
CRG_007,Tanner Butte,11,2016,-1,pre,yes,yes,90,open,2016-11-15
CRG_007,Tanner Butte,11,2017,0,post,yes,yes,0,closed,2017-11-15
CRG_007,Tanner Butte,11,2018,1,post,yes,yes,0,closed,2018-11-15
CRG_007,Tanner Butte,12,2014,-3,pre,yes,yes,19,open,2014-12-15
CRG_007,Tanner Butte,12,2015,-2,pre,yes,yes,27,open,2015-12-15
CRG_007,Tanner Butte,12,2016,-1,pre,yes,yes,36,open,2016-12-15
CRG_007,Tanner Butte,12,2017,0,post,yes,yes,0,closed,2017-12-15
CRG_007,Tanner Butte,12,2018,1,post,yes,yes,0,closed,2018-12-15
